subject,one,two,three,four,five
rain,cloud,storm,weather,clouds,wet
cloud,sky,rain,white,storm,air
time,space,place,clock,night,watch
year,month,next,leap,decade,new
people,person,group,village,others,crowd
way,no,hall,wrong,path,door
day,night,week,morning,valentine,pay
man,woman,guy,boy,lady,old
thing,object,it,sure,product,some
woman,man,girl,lady,pretty,female
life,death,full,live,enjoy,love
child,kid,baby,bastard,adult,boy
world,earth,the,universe,disney,around
school,education,class,college,grade,high
state,nation,government,city,condition,politics
family,friends,cousin,home,relative,kin
student,teacher,pupil,school,college,learner
group,club,team,band,people,bunch
country,nation,america,state,city,usa
problem,trouble,solution,solve,math,issue
hand,finger,arm,glove,fist,foot
part,piece,body,portion,fraction,half
place,spot,person,location,put,site
case,pillow,basket,head,nut,show
week,day,days,month,weak,next
company,bad,electric,two,firm,three
system,solar,metric,justice,design,judicial
program,programme,computer,tv,zoo,television
question,answer,?,what,ask,why
work,school,job,business,office,labor
government,state,federal,politics,corrupt,tax
number,lucky,#,phone,one,digit
night,day,dark,sleep,evening,black
point,dot,finger,sharp,decimal,exclamation
home,house,stay,place,welcome,away
water,rain,drink,fire,well,wet
room,bed,hall,class,living,locker
mother,father,pregnant,fucker,nature,earth
area,zone,place,region,space,bay
money,pay,bank,cash,wealth,dollar
story,tell,tale,toy,plot,book
fact,fiction,true,matter,truth,know
month,year,week,period,day,january
lot,parking,vacant,park,lots,much
right,wrong,left,correct,turn,now
study,learn,case,school,student,bible
book,story,read,page,novel,library
eye,ear,i,blink,see,private
job,blow,work,hand,quit,good
word,letter,spoken,spelling,bad,sentence
business,company,monkey,suit,meeting,show
issue,problem,swimsuit,frame,concern,tissue
side,out,in,back,up,country
kind,nice,type,cruel,man,gentle
head,hat,dick,tail,neck,hair
house,home,brick,tree,fun,school
service,room,provider,lip,postal,customer
friend,girl,enemy,pal,boy,best
father,mother,dad,son,strict,god
power,control,flower,force,strength,will
hour,minute,time,rush,happy,day
game,play,ball,fun,name,board
line,point,straight,finish,row,clothes
end,the,death,beginning,rear,finish
member,club,gang,crew,penis,gym
law,court,lawyer,order,judge,legal
car,drive,train,engine,truck,vehicle
city,town,street,country,village,sex
community,people,society,chance,neighborhood,village
name,brand,jack,title,nick,jim
president,bush,leader,vice,clinton,class
team,football,swat,player,crew,group
minute,hour,second,time,small,tiny
idea,thought,think,theory,opinion,concept
kid,child,baby,adult,boy,karate
body,head,mind,soul,some,anatomy
information,knowledge,know,data,knowing,facts
back,front,rear,forward,yard,cape
parent,single,child,trap,proud,mom
face,hair,eyes,eye,poker,slap
others,them,unto,blame,the,other
level,ground,lower,grade,even,low
office,post,work,desk,box,cubicle
door,open,knob,window,lock,knock
health,disease,sickness,fitness,mental,system
person,people,individual,character,persons,self
art,painting,craft,gallery,thou,paint
war,peace,battle,iraq,fight,vietnam
